country_name,year,beginning_stockpile,coffee_type,production_month
Sri Lanka,2001/02,6.0,(R),October
Thailand,2001/02,124.0,(R/A),October
Togo,2001/02,34.166,(R),October
Trinidad & Tobago,2001/02,0.0,(R),October
Uganda,2001/02,510.0,(R/A),October
Venezuela,2001/02,428.0,(A),October
Vietnam,2001/02,500.0,(R/A),October
Yemen,2001/02,0.0,(A),October
Angola,2002/03,5.0,(R/A),April
Bolivia,2002/03,0.0,(A),April
Brazil,2002/03,37303.0,(A/R),April
Burundi,2002/03,16.185,(A),April
Ecuador,2002/03,35.0,(A/R),April
Indonesia,2002/03,150.15,(R/A),April
Madagascar,2002/03,28.795,(R),April
Malawi,2002/03,3.0,(A),April
Papua New Guinea,2002/03,81.054,(A/R),April
Paraguay,2002/03,28.0,(A),April
Peru,2002/03,205.0,(A),April
Rwanda,2002/03,0.0,(A),April
Timor-Leste,2002/03,0.0,(A),April
Zimbabwe,2002/03,10.0,(A),April
"Congo, Rep. of",2002/03,0.0,(R),July
Cuba,2002/03,102.6,(A),July
Dominican Republic,2002/03,311.909,(A),July
Haiti,2002/03,13.0,(A),July
Philippines,2002/03,814.0,(R/A),July
Tanzania,2002/03,11.667,(A/R),July
Zambia,2002/03,0.0,(A),July
Benin,2002/03,0.0,(R),October
Cameroon,2002/03,11.0,(R/A),October
Central African Republic,2002/03,7.9,(R),October
Colombia,2002/03,1741.0,(A),October
"Congo, Dem. Rep. of",2002/03,87.96,(R/A),October
Costa Rica,2002/03,191.0,(A),October
Côte d'Ivoire,2002/03,702.02,(R),October
El Salvador,2002/03,185.9,(A),October
Equatorial Guinea,2002/03,0.0,(R),October
Ethiopia,2002/03,2067.0,(A),October
Gabon,2002/03,0.0,(R),October
Ghana,2002/03,15.0,(R),October
Guatemala,2002/03,345.0,(A/R),October
Guinea,2002/03,59.0,(R),October
Guyana,2002/03,0.0,(R),October
Honduras,2002/03,255.343,(A),October
India,2002/03,653.0,(R/A),October
Jamaica,2002/03,9.484,(A),October
Kenya,2002/03,277.633,(A),October
"Lao, People's Dem. Rep. of",2002/03,0.0,(R),October
Liberia,2002/03,0.0,(R),October
Mexico,2002/03,399.0,(A),October
Nepal,2002/03,,(A),October
Nicaragua,2002/03,96.71,(A),October
Nigeria,2002/03,0.0,(R),October
Panama,2002/03,90.0,(A),October
Sierra Leone,2002/03,17.0,(R),October
Sri Lanka,2002/03,5.0,(R),October
Thailand,2002/03,78.7,(R/A),October
Togo,2002/03,30.6,(R),October
Trinidad & Tobago,2002/03,0.0,(R),October
Uganda,2002/03,373.62,(R/A),October
Venezuela,2002/03,328.0,(A),October
Vietnam,2002/03,1166.667,(R/A),October
Yemen,2002/03,0.0,(A),October
Angola,2003/04,30.0,(R/A),April
Bolivia,2003/04,0.0,(A),April
Brazil,2003/04,42292.0,(A/R),April
Burundi,2003/04,36.862,(A),April
Ecuador,2003/04,32.0,(A/R),April
Indonesia,2003/04,822.068,(R/A),April
Madagascar,2003/04,62.963,(R),April
Malawi,2003/04,1.0,(A),April
Papua New Guinea,2003/04,87.709,(A/R),April
Paraguay,2003/04,24.0,(A),April
Peru,2003/04,147.0,(A),April
Rwanda,2003/04,10.925,(A),April
Timor-Leste,2003/04,0.0,(A),April
Zimbabwe,2003/04,10.0,(A),April
"Congo, Rep. of",2003/04,0.0,(R),July
Cuba,2003/04,60.0,(A),July
Dominican Republic,2003/04,276.228,(A),July
Haiti,2003/04,10.0,(A),July
Philippines,2003/04,698.0,(R/A),July
Tanzania,2003/04,0.766,(A/R),July
Zambia,2003/04,0.0,(A),July
Benin,2003/04,0.0,(R),October
Cameroon,2003/04,11.0,(R/A),October
Central African Republic,2003/04,58.333,(R),October
Colombia,2003/04,1598.0,(A),October
"Congo, Dem. Rep. of",2003/04,31.241,(R/A),October
Costa Rica,2003/04,183.0,(A),October
Côte d'Ivoire,2003/04,786.607,(R),October
El Salvador,2003/04,150.7,(A),October
Equatorial Guinea,2003/04,0.0,(R),October
Ethiopia,2003/04,1650.0,(A),October
Gabon,2003/04,0.0,(R),October
Ghana,2003/04,10.0,(R),October
Guatemala,2003/04,150.0,(A/R),October
Guinea,2003/04,59.0,(R),October
Guyana,2003/04,0.0,(R),October
Honduras,2003/04,112.513,(A),October
India,2003/04,635.0,(R/A),October
Jamaica,2003/04,12.664,(A),October
Kenya,2003/04,295.146,(A),October
"Lao, People's Dem. Rep. of",2003/04,0.0,(R),October
Liberia,2003/04,0.0,(R),October
Mexico,2003/04,688.0,(A),October
Nepal,2003/04,,(A),October
Nicaragua,2003/04,133.637,(A),October
Nigeria,2003/04,0.0,(R),October
Panama,2003/04,78.869,(A),October
Sierra Leone,2003/04,17.0,(R),October
Sri Lanka,2003/04,4.0,(R),October
Thailand,2003/04,112.0,(R/A),October
Togo,2003/04,19.1,(R),October
Trinidad & Tobago,2003/04,0.0,(R),October
Uganda,2003/04,313.73,(R/A),October
Venezuela,2003/04,228.0,(A),October
Vietnam,2003/04,666.667,(R/A),October
Yemen,2003/04,0.0,(A),October
Angola,2004/05,40.0,(R/A),April
Bolivia,2004/05,0.0,(A),April
Brazil,2004/05,32056.0,(A/R),April
Burundi,2004/05,49.029,(A),April
Ecuador,2004/05,20.0,(A/R),April
Indonesia,2004/05,572.068,(R/A),April
Madagascar,2004/05,42.367,(R),April
Malawi,2004/05,1.0,(A),April
Papua New Guinea,2004/05,88.56,(A/R),April
Paraguay,2004/05,18.0,(A),April
Peru,2004/05,133.0,(A),April
Rwanda,2004/05,8.957,(A),April
Timor-Leste,2004/05,0.0,(A),April
Zimbabwe,2004/05,10.0,(A),April
"Congo, Rep. of",2004/05,0.0,(R),July
Cuba,2004/05,30.0,(A),July
Dominican Republic,2004/05,209.0,(A),July
Haiti,2004/05,10.0,(A),July
Philippines,2004/05,554.0,(R/A),July
Tanzania,2004/05,4.167,(A/R),July
Zambia,2004/05,0.0,(A),July
Benin,2004/05,0.0,(R),October
Cameroon,2004/05,11.0,(R/A),October
Central African Republic,2004/05,29.0,(R),October
Colombia,2004/05,1274.0,(A),October
"Congo, Dem. Rep. of",2004/05,9.124,(R/A),October
Costa Rica,2004/05,189.0,(A),October
Côte d'Ivoire,2004/05,846.867,(R),October
El Salvador,2004/05,127.6,(A),October
Equatorial Guinea,2004/05,0.0,(R),October
Ethiopia,2004/05,1317.0,(A),October
Gabon,2004/05,0.0,(R),October
Ghana,2004/05,8.0,(R),October
Guatemala,2004/05,153.0,(A/R),October
Guinea,2004/05,29.0,(R),October
Guyana,2004/05,0.0,(R),October
Honduras,2004/05,86.618,(A),October
India,2004/05,663.0,(R/A),October
Jamaica,2004/05,14.48,(A),October
Kenya,2004/05,98.163,(A),October
"Lao, People's Dem. Rep. of",2004/05,0.0,(R),October
Liberia,2004/05,0.0,(R),October
Mexico,2004/05,966.0,(A),October
Nepal,2004/05,,(A),October
Nicaragua,2004/05,219.456,(A),October
Nigeria,2004/05,0.0,(R),October
Panama,2004/05,79.0,(A),October
Sierra Leone,2004/05,17.0,(R),October
Sri Lanka,2004/05,3.0,(R),October
Thailand,2004/05,89.967,(R/A),October
Togo,2004/05,9.383,(R),October
Trinidad & Tobago,2004/05,0.0,(R),October
Uganda,2004/05,258.2,(R/A),October
Venezuela,2004/05,128.0,(A),October
Vietnam,2004/05,900.0,(R/A),October
Yemen,2004/05,0.0,(A),October
Angola,2005/06,35.0,(R/A),April
Bolivia,2005/06,0.0,(A),April
Brazil,2005/06,28923.0,(A/R),April
Burundi,2005/06,7.046,(A),April
Ecuador,2005/06,47.0,(A/R),April
Indonesia,2005/06,286.0,(R/A),April
Madagascar,2005/06,11.583,(R),April
Malawi,2005/06,1.0,(A),April
Papua New Guinea,2005/06,73.387,(A/R),April
Paraguay,2005/06,14.0,(A),April
Peru,2005/06,33.0,(A),April
Rwanda,2005/06,0.0,(A),April
Timor-Leste,2005/06,0.0,(A),April
Zimbabwe,2005/06,10.0,(A),April
"Congo, Rep. of",2005/06,0.0,(R),July
Cuba,2005/06,15.0,(A),July
Dominican Republic,2005/06,280.84,(A),July
Haiti,2005/06,8.0,(A),July
Philippines,2005/06,314.0,(R/A),July
Tanzania,2005/06,4.0,(A/R),July
Zambia,2005/06,0.0,(A),July
Benin,2005/06,0.0,(R),October
Cameroon,2005/06,11.0,(R/A),October
Central African Republic,2005/06,13.0,(R),October
Colombia,2005/06,442.0,(A),October
"Congo, Dem. Rep. of",2005/06,0.0,(R/A),October
Costa Rica,2005/06,180.0,(A),October
Côte d'Ivoire,2005/06,741.072,(R),October
El Salvador,2005/06,129.0,(A),October
Equatorial Guinea,2005/06,0.0,(R),October
Ethiopia,2005/06,1432.0,(A),October
Gabon,2005/06,0.0,(R),October
Ghana,2005/06,5.0,(R),October
Guatemala,2005/06,99.667,(A/R),October
Guinea,2005/06,29.0,(R),October
Guyana,2005/06,0.0,(R),October
Honduras,2005/06,36.529,(A),October
India,2005/06,1295.0,(R/A),October
Jamaica,2005/06,5.829,(A),October
Kenya,2005/06,125.0,(A),October
"Lao, People's Dem. Rep. of",2005/06,0.0,(R),October
Liberia,2005/06,0.0,(R),October
Mexico,2005/06,1426.0,(A),October
Nepal,2005/06,,(A),October
Nicaragua,2005/06,144.142,(A),October
Nigeria,2005/06,0.0,(R),October
Panama,2005/06,21.0,(A),October
Sierra Leone,2005/06,10.0,(R),October
Sri Lanka,2005/06,2.0,(R),October
Thailand,2005/06,132.25,(R/A),October
Togo,2005/06,23.317,(R),October
Trinidad & Tobago,2005/06,0.0,(R),October
Uganda,2005/06,242.0,(R/A),October
Venezuela,2005/06,28.0,(A),October
Vietnam,2005/06,580.0,(R/A),October
Yemen,2005/06,0.0,(A),October
Angola,2006/07,40.0,(R/A),April
Bolivia,2006/07,0.0,(A),April
Brazil,2006/07,21240.0,(A/R),April
Burundi,2006/07,17.291,(A),April
Ecuador,2006/07,16.0,(A/R),April
Indonesia,2006/07,150.0,(R/A),April
Madagascar,2006/07,20.25,(R),April
Malawi,2006/07,3.0,(A),April
Papua New Guinea,2006/07,86.109,(A/R),April
Paraguay,2006/07,16.0,(A),April
Peru,2006/07,30.0,(A),April
Rwanda,2006/07,60.0,(A),April
Timor-Leste,2006/07,0.0,(A),April
Zimbabwe,2006/07,10.0,(A),April
"Congo, Rep. of",2006/07,0.0,(R),July
Cuba,2006/07,18.0,(A),July
Dominican Republic,2006/07,120.0,(A),July
Haiti,2006/07,0.0,(A),July
Philippines,2006/07,150.0,(R/A),July
Tanzania,2006/07,7.333,(A/R),July
Zambia,2006/07,0.0,(A),July
Benin,2006/07,0.0,(R),October
Cameroon,2006/07,33.0,(R/A),October
Central African Republic,2006/07,13.0,(R),October
Colombia,2006/07,855.0,(A),October
"Congo, Dem. Rep. of",2006/07,0.0,(R/A),October
Costa Rica,2006/07,140.0,(A),October
Côte d'Ivoire,2006/07,715.64,(R),October
El Salvador,2006/07,110.9,(A),October
Equatorial Guinea,2006/07,0.0,(R),October
Ethiopia,2006/07,900.0,(A),October
Gabon,2006/07,0.0,(R),October
Ghana,2006/07,5.0,(R),October
Guatemala,2006/07,127.0,(A/R),October
Guinea,2006/07,8.0,(R),October
Guyana,2006/07,0.0,(R),October
Honduras,2006/07,82.33,(A),October
India,2006/07,1165.0,(R/A),October
Jamaica,2006/07,10.561,(A),October
Kenya,2006/07,115.0,(A),October
"Lao, People's Dem. Rep. of",2006/07,0.0,(R),October
Liberia,2006/07,0.0,(R),October
Mexico,2006/07,1418.0,(A),October
Nepal,2006/07,,(A),October
Nicaragua,2006/07,16.208,(A),October
Nigeria,2006/07,0.0,(R),October
Panama,2006/07,21.0,(A),October
Sierra Leone,2006/07,10.0,(R),October
Sri Lanka,2006/07,1.0,(R),October
Thailand,2006/07,73.0,(R/A),October
Togo,2006/07,35.0,(R),October
Trinidad & Tobago,2006/07,0.0,(R),October
Uganda,2006/07,265.227,(R/A),October
Venezuela,2006/07,30.0,(A),October
Vietnam,2006/07,500.0,(R/A),October
Yemen,2006/07,0.0,(A),October
Angola,2007/08,40.0,(R/A),April
Bolivia,2007/08,0.0,(A),April
Brazil,2007/08,19410.181,(A/R),April
Burundi,2007/08,150.497,(A),April
Ecuador,2007/08,7.5,(A/R),April
Indonesia,2007/08,30.0,(R/A),April
Madagascar,2007/08,8.333,(R),April
Malawi,2007/08,2.0,(A),April
Papua New Guinea,2007/08,80.127,(A/R),April
Paraguay,2007/08,6.0,(A),April
Peru,2007/08,16.0,(A),April
Rwanda,2007/08,17.0,(A),April
Timor-Leste,2007/08,0.0,(A),April
Zimbabwe,2007/08,5.0,(A),April
"Congo, Rep. of",2007/08,0.0,(R),July
Cuba,2007/08,22.0,(A),July
Dominican Republic,2007/08,45.0,(A),July
Haiti,2007/08,0.0,(A),July
Philippines,2007/08,50.0,(R/A),July
Tanzania,2007/08,18.383,(A/R),July
Zambia,2007/08,0.0,(A),July
Benin,2007/08,0.0,(R),October
Cameroon,2007/08,40.116,(R/A),October
Central African Republic,2007/08,5.0,(R),October
Colombia,2007/08,242.514,(A),October
"Congo, Dem. Rep. of",2007/08,0.0,(R/A),October
Costa Rica,2007/08,100.0,(A),October
Côte d'Ivoire,2007/08,1228.586,(R),October
El Salvador,2007/08,54.0,(A),October
Equatorial Guinea,2007/08,0.0,(R),October
Ethiopia,2007/08,933.0,(A),October
Gabon,2007/08,0.0,(R),October
Ghana,2007/08,3.0,(R),October
Guatemala,2007/08,30.0,(A/R),October
Guinea,2007/08,4.0,(R),October
Guyana,2007/08,0.0,(R),October
Honduras,2007/08,98.14,(A),October
India,2007/08,1155.0,(R/A),October
Jamaica,2007/08,19.746,(A),October
Kenya,2007/08,100.0,(A),October
"Lao, People's Dem. Rep. of",2007/08,0.0,(R),October
Liberia,2007/08,0.0,(R),October
Mexico,2007/08,725.0,(A),October
Nepal,2007/08,,(A),October
Nicaragua,2007/08,87.349,(A),October
Nigeria,2007/08,0.0,(R),October
Panama,2007/08,15.0,(A),October
Sierra Leone,2007/08,2.0,(R),October
Sri Lanka,2007/08,0.0,(R),October
Thailand,2007/08,11.0,(R/A),October
Togo,2007/08,20.0,(R),October
Trinidad & Tobago,2007/08,0.0,(R),October
Uganda,2007/08,280.151,(R/A),October
Venezuela,2007/08,15.0,(A),October
Vietnam,2007/08,833.0,(R/A),October
Yemen,2007/08,0.0,(A),October
Angola,2008/09,40.0,(R/A),April
Bolivia,2008/09,0.0,(A),April
Brazil,2008/09,13227.434,(A/R),April
Burundi,2008/09,5.15,(A),April
Ecuador,2008/09,6.2,(A/R),April
Indonesia,2008/09,56.0,(R/A),April
Madagascar,2008/09,0.0,(R),April
Malawi,2008/09,0.0,(A),April
Papua New Guinea,2008/09,76.0,(A/R),April
Paraguay,2008/09,0.0,(A),April
Peru,2008/09,201.0,(A),April
Rwanda,2008/09,17.0,(A),April
Timor-Leste,2008/09,0.0,(A),April
Zimbabwe,2008/09,0.0,(A),April
"Congo, Rep. of",2008/09,0.0,(R),July
Cuba,2008/09,12.0,(A),July
Dominican Republic,2008/09,52.0,(A),July
Haiti,2008/09,0.0,(A),July
Philippines,2008/09,0.0,(R/A),July
Tanzania,2008/09,13.2166,(A/R),July
Zambia,2008/09,0.0,(A),July
Benin,2008/09,0.0,(R),October
Cameroon,2008/09,9.0,(R/A),October
Central African Republic,2008/09,8.333,(R),October
Colombia,2008/09,178.481,(A),October
"Congo, Dem. Rep. of",2008/09,0.0,(R/A),October
Costa Rica,2008/09,120.0,(A),October
Côte d'Ivoire,2008/09,584.231,(R),October
El Salvador,2008/09,15.2,(A),October
Equatorial Guinea,2008/09,0.0,(R),October
Ethiopia,2008/09,1200.0,(A),October
Gabon,2008/09,0.0,(R),October
Ghana,2008/09,0.0,(R),October
Guatemala,2008/09,8.0,(A/R),October
Guinea,2008/09,1.0,(R),October
Guyana,2008/09,0.0,(R),October
Honduras,2008/09,98.14,(A),October
India,2008/09,926.0,(R/A),October
Jamaica,2008/09,7.0,(A),October
Kenya,2008/09,75.0,(A),October
"Lao, People's Dem. Rep. of",2008/09,0.0,(R),October
Liberia,2008/09,0.0,(R),October
Mexico,2008/09,120.0,(A),October
Nepal,2008/09,0.0,(A),October
Nicaragua,2008/09,204.411,(A),October
Nigeria,2008/09,0.0,(R),October
Panama,2008/09,5.0,(A),October
Sierra Leone,2008/09,0.0,(R),October
Sri Lanka,2008/09,0.0,(R),October
Thailand,2008/09,11.0,(R/A),October
Togo,2008/09,9.0,(R),October
Trinidad & Tobago,2008/09,0.0,(R),October
Uganda,2008/09,379.554,(R/A),October
Venezuela,2008/09,7.0,(A),October
Vietnam,2008/09,526.0,(R/A),October
Yemen,2008/09,0.0,(A),October
Angola,2009/10,40.0,(R/A),April
Bolivia,2009/10,0.0,(A),April
Brazil,2009/10,15766.0,(A/R),April
Burundi,2009/10,40.465,(A),April
Ecuador,2009/10,8.0,(A/R),April
Indonesia,2009/10,668.0,(R/A),April
Madagascar,2009/10,111.0,(R),April
Malawi,2009/10,0.0,(A),April
Papua New Guinea,2009/10,38.0,(A/R),April
Paraguay,2009/10,0.0,(A),April
Peru,2009/10,0.0,(A),April
Rwanda,2009/10,28.0,(A),April
Timor-Leste,2009/10,0.0,(A),April
Zimbabwe,2009/10,0.0,(A),April
"Congo, Rep. of",2009/10,0.0,(R),July
Cuba,2009/10,12.0,(A),July
Dominican Republic,2009/10,205.928,(A),July
Haiti,2009/10,0.0,(A),July
Philippines,2009/10,0.0,(R/A),July
Tanzania,2009/10,36.0,(A/R),July
Zambia,2009/10,0.0,(A),July
Benin,2009/10,0.0,(R),October
Cameroon,2009/10,125.0,(R/A),October
Central African Republic,2009/10,3.333,(R),October
Colombia,2009/10,75.058,(A),October
"Congo, Dem. Rep. of",2009/10,49.0,(R/A),October
Costa Rica,2009/10,51.186,(A),October
Côte d'Ivoire,2009/10,1177.745,(R),October
El Salvador,2009/10,15.8,(A),October
Equatorial Guinea,2009/10,0.0,(R),October
Ethiopia,2009/10,1233.0,(A),October
Gabon,2009/10,1.117,(R),October
Ghana,2009/10,5.0,(R),October
Guatemala,2009/10,2.0,(A/R),October
Guinea,2009/10,95.0,(R),October
Guyana,2009/10,0.0,(R),October
Honduras,2009/10,159.914,(A),October
India,2009/10,777.0,(R/A),October
Jamaica,2009/10,5.0,(A),October
Kenya,2009/10,25.0,(A),October
"Lao, People's Dem. Rep. of",2009/10,13.0,(R),October
Liberia,2009/10,0.0,(R),October
Mexico,2009/10,332.0,(A),October
Nepal,2009/10,0.0,(A),October
Nicaragua,2009/10,63.48,(A),October
Nigeria,2009/10,8.0,(R),October
Panama,2009/10,22.0,(A),October
Sierra Leone,2009/10,15.0,(R),October
Sri Lanka,2009/10,0.0,(R),October
Thailand,2009/10,2.0,(R/A),October
Togo,2009/10,3.0,(R),October
Trinidad & Tobago,2009/10,0.0,(R),October
Uganda,2009/10,476.033,(R/A),October
Venezuela,2009/10,0.0,(A),October
Vietnam,2009/10,640.0,(R/A),October
Yemen,2009/10,43.0,(A),October
Angola,2010/11,20.0,(R/A),April
Bolivia,2010/11,0.0,(A),April
Brazil,2010/11,11098.0,(A/R),April
Burundi,2010/11,6.742,(A),April
Ecuador,2010/11,12.0,(A/R),April
Indonesia,2010/11,725.0,(R/A),April
Madagascar,2010/11,56.0,(R),April
Malawi,2010/11,0.0,(A),April
Papua New Guinea,2010/11,25.0,(A/R),April
Paraguay,2010/11,0.0,(A),April
Peru,2010/11,37.0,(A),April
Rwanda,2010/11,19.0,(A),April
Timor-Leste,2010/11,0.0,(A),April
Zimbabwe,2010/11,0.0,(A),April
"Congo, Rep. of",2010/11,0.0,(R),July
Cuba,2010/11,8.0,(A),July
Dominican Republic,2010/11,124.593,(A),July
Haiti,2010/11,0.0,(A),July
Philippines,2010/11,0.0,(R/A),July
Tanzania,2010/11,16.0,(A/R),July
Zambia,2010/11,0.0,(A),July
Benin,2010/11,0.0,(R),October
Cameroon,2010/11,136.75,(R/A),October
Central African Republic,2010/11,18.85,(R),October
Colombia,2010/11,122.151,(A),October
"Congo, Dem. Rep. of",2010/11,32.0,(R/A),October
Costa Rica,2010/11,62.237,(A),October
Côte d'Ivoire,2010/11,819.996,(R),October
El Salvador,2010/11,18.2,(A),October
Equatorial Guinea,2010/11,0.0,(R),October
Ethiopia,2010/11,2050.0,(A),October
Gabon,2010/11,0.55,(R),October
Ghana,2010/11,8.0,(R),October
Guatemala,2010/11,71.0,(A/R),October
Guinea,2010/11,82.0,(R),October
Guyana,2010/11,0.0,(R),October
Honduras,2010/11,95.312,(A),October
India,2010/11,923.0,(R/A),October
Jamaica,2010/11,5.0,(A),October
Kenya,2010/11,98.0,(A),October
"Lao, People's Dem. Rep. of",2010/11,6.0,(R),October
Liberia,2010/11,0.0,(R),October
Mexico,2010/11,479.0,(A),October
Nepal,2010/11,0.0,(A),October
Nicaragua,2010/11,83.175,(A),October
Nigeria,2010/11,0.0,(R),October
Panama,2010/11,29.0,(A),October
Sierra Leone,2010/11,3.0,(R),October
Sri Lanka,2010/11,0.0,(R),October
Thailand,2010/11,8.0,(R/A),October
Togo,2010/11,0.904,(R),October
Trinidad & Tobago,2010/11,0.0,(R),October
Uganda,2010/11,512.238,(R/A),October
Venezuela,2010/11,0.0,(A),October
Vietnam,2010/11,2716.0,(R/A),October
Yemen,2010/11,5.0,(A),October
Angola,2011/12,20.0,(R/A),April
Bolivia,2011/12,0.0,(A),April
Brazil,2011/12,11340.0,(A/R),April
Burundi,2011/12,7.0,(A),April
Ecuador,2011/12,10.0,(A/R),April
Indonesia,2011/12,873.0,(R/A),April
Madagascar,2011/12,30.0,(R),April
Malawi,2011/12,0.0,(A),April
Papua New Guinea,2011/12,10.0,(A/R),April
Paraguay,2011/12,0.0,(A),April
Peru,2011/12,24.0,(A),April
Rwanda,2011/12,13.0,(A),April
Timor-Leste,2011/12,0.0,(A),April
Zimbabwe,2011/12,0.0,(A),April
"Congo, Rep. of",2011/12,0.0,(R),July
Cuba,2011/12,8.0,(A),July
Dominican Republic,2011/12,58.0,(A),July
Haiti,2011/12,0.0,(A),July
Philippines,2011/12,0.0,(R/A),July
Tanzania,2011/12,20.0,(A/R),July
Zambia,2011/12,0.0,(A),July
Benin,2011/12,0.0,(R),October
Cameroon,2011/12,26.375,(R/A),October
Central African Republic,2011/12,0.0,(R),October
Colombia,2011/12,162.577,(A),October
"Congo, Dem. Rep. of",2011/12,5.044,(R/A),October
Costa Rica,2011/12,59.223,(A),October
Côte d'Ivoire,2011/12,381.376,(R),October
El Salvador,2011/12,71.6,(A),October
Equatorial Guinea,2011/12,0.0,(R),October
Ethiopia,2011/12,417.0,(A),October
Gabon,2011/12,0.683,(R),October
Ghana,2011/12,5.0,(R),October
Guatemala,2011/12,27.0,(A/R),October
Guinea,2011/12,60.0,(R),October
Guyana,2011/12,0.0,(R),October
Honduras,2011/12,163.679,(A),October
India,2011/12,1250.0,(R/A),October
Jamaica,2011/12,0.0,(A),October
Kenya,2011/12,34.0,(A),October
"Lao, People's Dem. Rep. of",2011/12,0.0,(R),October
Liberia,2011/12,0.0,(R),October
Mexico,2011/12,255.0,(A),October
Nepal,2011/12,0.0,(A),October
Nicaragua,2011/12,20.583,(A),October
Nigeria,2011/12,0.0,(R),October
Panama,2011/12,20.0,(A),October
Sierra Leone,2011/12,3.0,(R),October
Sri Lanka,2011/12,0.0,(R),October
Thailand,2011/12,8.0,(R/A),October
Togo,2011/12,0.05,(R),October
Trinidad & Tobago,2011/12,0.0,(R),October
Uganda,2011/12,425.38,(R/A),October
Venezuela,2011/12,0.0,(A),October
Vietnam,2011/12,3750.0,(R/A),October
Yemen,2011/12,0.0,(A),October
Angola,2012/13,10.0,(R/A),April
Bolivia,2012/13,0.0,(A),April
Brazil,2012/13,10063.0,(A/R),April
Burundi,2012/13,7.0,(A),April
Ecuador,2012/13,2.3,(A/R),April
Indonesia,2012/13,450.0,(R/A),April
Madagascar,2012/13,30.0,(R),April
Malawi,2012/13,0.0,(A),April
Papua New Guinea,2012/13,5.0,(A/R),April
Paraguay,2012/13,0.0,(A),April
Peru,2012/13,93.0,(A),April
Rwanda,2012/13,13.0,(A),April
Timor-Leste,2012/13,0.0,(A),April
Zimbabwe,2012/13,0.0,(A),April
"Congo, Rep. of",2012/13,0.0,(R),July
Cuba,2012/13,0.0,(A),July
Dominican Republic,2012/13,61.0,(A),July
Haiti,2012/13,0.0,(A),July
Philippines,2012/13,0.0,(R/A),July
Tanzania,2012/13,34.65,(A/R),July
Zambia,2012/13,0.0,(A),July
Benin,2012/13,0.0,(R),October
Cameroon,2012/13,47.076,(R/A),October
Central African Republic,2012/13,0.3,(R),October
Colombia,2012/13,114.027,(A),October
"Congo, Dem. Rep. of",2012/13,4.0,(R/A),October
Costa Rica,2012/13,125.222,(A),October
Côte d'Ivoire,2012/13,637.129,(R),October
El Salvador,2012/13,80.0,(A),October
Equatorial Guinea,2012/13,0.0,(R),October
Ethiopia,2012/13,1000.0,(A),October
Gabon,2012/13,0.433,(R),October
Ghana,2012/13,3.0,(R),October
Guatemala,2012/13,16.0,(A/R),October
Guinea,2012/13,15.0,(R),October
Guyana,2012/13,0.0,(R),October
Honduras,2012/13,231.942,(A),October
India,2012/13,1300.0,(R/A),October
Jamaica,2012/13,0.0,(A),October
Kenya,2012/13,14.0,(A),October
"Lao, People's Dem. Rep. of",2012/13,0.0,(R),October
Liberia,2012/13,0.0,(R),October
Mexico,2012/13,400.0,(A),October
Nepal,2012/13,0.0,(A),October
Nicaragua,2012/13,348.203,(A),October
Nigeria,2012/13,0.0,(R),October
Panama,2012/13,10.0,(A),October
Sierra Leone,2012/13,2.0,(R),October
Sri Lanka,2012/13,0.0,(R),October
Thailand,2012/13,10.0,(R/A),October
Togo,2012/13,8.633,(R),October
Trinidad & Tobago,2012/13,0.0,(R),October
Uganda,2012/13,603.494,(R/A),October
Venezuela,2012/13,0.0,(A),October
Vietnam,2012/13,2750.0,(R/A),October
Yemen,2012/13,0.0,(A),October
Angola,2013/14,5.0,(R/A),April
Bolivia,2013/14,0.0,(A),April
Brazil,2013/14,15868.0,(A/R),April
Burundi,2013/14,5.0,(A),April
Ecuador,2013/14,2.0,(A/R),April
Indonesia,2013/14,650.0,(R/A),April
Madagascar,2013/14,10.0,(R),April
Malawi,2013/14,0.0,(A),April
Papua New Guinea,2013/14,5.0,(A/R),April
Paraguay,2013/14,0.0,(A),April
Peru,2013/14,82.0,(A),April
Rwanda,2013/14,10.0,(A),April
Timor-Leste,2013/14,0.0,(A),April
Zimbabwe,2013/14,0.0,(A),April
"Congo, Rep. of",2013/14,0.0,(R),July
Cuba,2013/14,0.0,(A),July
Dominican Republic,2013/14,58.0,(A),July
Haiti,2013/14,0.0,(A),July
Philippines,2013/14,0.0,(R/A),July
Tanzania,2013/14,51.65,(A/R),July
Zambia,2013/14,0.0,(A),July
Benin,2013/14,0.0,(R),October
Cameroon,2013/14,22.043,(R/A),October
Central African Republic,2013/14,5.523,(R),October
Colombia,2013/14,231.621,(A),October
"Congo, Dem. Rep. of",2013/14,4.0,(R/A),October
Costa Rica,2013/14,144.72,(A),October
Côte d'Ivoire,2013/14,575.18,(R),October
El Salvador,2013/14,72.5,(A),October
Equatorial Guinea,2013/14,0.0,(R),October
Ethiopia,2013/14,667.0,(A),October
Gabon,2013/14,0.217,(R),October
Ghana,2013/14,2.0,(R),October
Guatemala,2013/14,12.0,(A/R),October
Guinea,2013/14,10.0,(R),October
Guyana,2013/14,0.0,(R),October
Honduras,2013/14,232.574,(A),October
India,2013/14,1320.0,(R/A),October
Jamaica,2013/14,0.0,(A),October
Kenya,2013/14,20.0,(A),October
"Lao, People's Dem. Rep. of",2013/14,0.0,(R),October
Liberia,2013/14,0.0,(R),October
Mexico,2013/14,400.0,(A),October
